Location,Kilometers_Driven,Engine,Power,Seats,Price,Mileage(kmpl),Brand,Age,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Model_Frequency
9,72000,998.0,58.16,5.0,1.75,29.860000000000003,18,15.0,False,False,False,False,True,False,False,False,0.02558989697573945
10,41000,1582.0,126.2,5.0,12.5,19.67,10,10.0,True,False,False,False,True,False,False,False,0.015453639082751745
2,46000,1199.0,88.7,5.0,4.5,18.2,9,14.0,False,False,False,True,True,False,False,False,0.009637753406447324
2,87000,1248.0,88.76,5.0,6.0,20.77,18,13.0,True,False,False,False,True,False,False,False,0.012462612163509471
3,40670,1968.0,140.8,5.0,17.74,15.2,1,12.0,True,False,False,False,False,False,True,False,0.012794948487869724
5,75000,814.0,55.2,5.0,2.35,29.54,10,13.0,False,False,True,False,True,False,False,False,0.010136257892987704
6,86999,1461.0,63.1,5.0,3.5,23.08,22,12.0,True,False,False,False,True,False,False,False,0.005483549351944167
9,36000,2755.0,171.5,5.0,17.5,11.36,28,9.0,True,False,False,False,False,False,False,False,0.02725157859754071
10,64430,1598.0,103.6,5.0,5.2,20.54,29,12.0,True,False,False,False,True,False,False,False,0.017779993353273512
2,65932,1248.0,74.0,5.0,1.95,22.3,27,13.0,True,False,False,False,True,False,True,False,0.006646726487205052
7,25692,1462.0,103.25,5.0,9.95,21.56,18,7.0,False,False,False,True,True,False,False,False,0.011797939514788967
8,60000,1497.0,116.3,5.0,4.49,16.8,9,13.0,False,False,False,True,False,False,False,False,0.0448654037886341
6,64424,1248.0,74.0,5.0,5.6,25.2,18,10.0,True,False,False,False,True,False,False,False,0.05865736124958458
4,72000,2179.0,187.7,5.0,19.625,12.7,16,11.0,True,False,False,False,False,False,False,False,0.009970089730807577
10,85000,2179.0,115.0,5.0,17.5,6.499999999999998,16,13.0,True,False,False,False,False,False,True,False,0.009970089730807577
4,110000,2477.0,175.56,5.0,15.0,13.5,21,11.0,True,False,False,False,True,False,False,False,0.003323363243602526
7,58950,1498.0,98.6,5.0,5.4,25.8,9,9.0,True,False,False,False,True,False,False,False,0.017613825191093387
6,25000,1248.0,74.0,5.0,5.99,28.4,18,8.0,True,False,False,False,True,False,False,False,0.05865736124958458
7,77469,1461.0,83.8,5.0,6.34,20.45,24,11.0,True,False,False,False,True,False,False,False,0.013791957460950481
1,78500,2143.0,167.62,5.0,19.625,14.84,19,11.0,True,False,False,False,False,False,False,False,0.01694915254237288
7,32982,1995.0,190.0,5.0,18.55,22.69,2,11.0,True,False,False,False,False,False,False,False,0.016284479893652375
1,55392,1248.0,88.5,5.0,8.25,23.65,18,10.0,True,False,False,False,True,False,True,False,0.002824858757062147
9,55985,1984.0,177.01,5.0,19.625,13.53,1,10.0,False,False,False,True,False,False,False,False,0.008142239946826188
8,45807,1197.0,80.0,5.0,1.87,18.5,10,15.0,False,False,False,True,True,False,False,False,0.041043536058491197
8,33000,1598.0,103.6,5.0,2.85,14.4,29,15.0,False,False,False,True,False,False,False,False,0.017779993353273512
9,51920,1497.0,116.3,5.0,4.25,16.8,9,13.0,False,False,False,True,True,False,False,False,0.0448654037886341
5,54000,1461.0,63.1,5.0,4.25,23.08,22,13.0,True,False,False,False,True,False,False,False,0.005483549351944167
5,54000,998.0,67.1,5.0,2.75,20.92,18,12.0,False,False,False,True,True,False,True,False,0.02376204719175806
7,37430,1199.0,88.7,5.0,9.9,17.5,9,7.0,False,False,False,True,True,False,False,False,0.0006646726487205051
9,131500,2494.0,102.0,5.0,4.0,12.8,28,18.0,True,False,False,False,True,True,False,False,0.02725157859754071
1,62000,1461.0,108.45,5.0,7.75,19.01,24,12.0,True,False,False,False,True,False,False,False,0.013791957460950481
4,87615,1798.0,138.1,5.0,6.75,14.53,28,13.0,False,False,False,True,True,False,False,False,0.011299435028248588
1,72000,2696.0,184.0,5.0,12.5,11.18,17,12.0,True,False,False,False,False,False,True,False,0.002160186108341642
8,35000,2698.0,179.5,5.0,11.5,12.4,1,15.0,True,False,False,False,False,False,False,False,0.008142239946826188
3,55431,1598.0,103.5,5.0,6.98,16.09,29,11.0,False,False,False,True,True,False,True,False,0.017779993353273512
6,83816,1061.0,64.0,5.0,1.85,14.0,18,16.0,False,False,False,True,True,False,True,False,0.02558989697573945
7,50075,1248.0,88.5,5.0,8.63,24.3,18,7.0,True,False,False,False,True,False,False,False,0.0071452309737454305
4,52000,1198.0,82.0,5.0,4.85,18.15,17,8.0,False,False,False,True,True,False,False,False,0.002326354270521768
10,85000,2987.0,228.075,5.0,19.625,11.74,19,12.0,True,False,False,False,False,False,False,False,0.0038218677301429045
2,62000,1199.0,73.9,5.0,5.0,22.07,29,12.0,True,False,False,False,True,False,False,False,0.02509139248919907
4,90000,796.0,46.3,5.0,1.25,19.7,18,17.0,False,False,False,True,True,False,True,False,0.02376204719175806
7,19698,624.0,37.5,5.0,1.53,25.4,27,11.0,False,False,False,True,True,False,False,False,0.004154204054503157
3,22033,1198.0,77.0,5.0,5.58,25.32,17,8.0,True,False,False,False,True,False,False,False,0.002326354270521768
7,35487,1197.0,82.9,5.0,4.74,18.5,10,11.0,False,False,False,True,True,False,False,False,0.041043536058491197
